State,Account_Length,International_Plan,Number_Vmail_Messages,Total_Day_Charge,Total_Eve_Charge,Total_Night_Charge,Total_Intl_Charge,Customer_Service_Calls,Total_Charge,Churn
TX,70,0,0,39.58,25.79,11.5,3.48,0,80.35,1
WA,130,0,0,21.13,23.01,10.78,0.95,0,55.87,0
CO,119,0,0,21.13,17.6,7.08,4,0,49.81,0
VA,127,0,25,29.41,20.89,13.5,1.3,0,65.1,0
ND,153,0,31,37.15,11.41,5.35,2.54,0,56.45,0
MN,68,0,0,38.54,14.31,8.49,2.75,0,64.09,0
NY,181,1,0,27.42,10.57,11.79,3.81,0,53.59,1
OH,134,0,0,34.46,19.12,11.43,3.27,0,68.28,0
TX,66,0,35,32.44,22.21,9.43,2.4,0,66.48,0
HI,146,0,0,32.18,13.25,8.37,2,0,55.8,0
CT,77,0,0,41.68,21.6,10.77,2.03,0,76.08,1
OH,106,0,0,26.96,18.7,11.38,2.46,0,59.5,0
WI,142,0,24,40.77,24.3,11.55,2.57,0,79.19,0
DE,51,1,0,26.11,19.8,9.64,3.81,0,59.36,1
TN,130,0,0,21.59,17.59,10.43,1.65,0,51.26,0
WV,92,0,47,24.07,17.67,9.16,2.75,0,53.65,0
CT,125,1,0,31.84,13.66,11.87,2.59,0,59.96,1
MD,107,0,0,41.12,10.79,8.35,3.16,0,63.42,0
KY,124,0,0,32.98,20.49,10.24,3.21,0,66.92,0
KY,89,0,0,32.66,13.91,7.64,1.65,0,55.86,0
KY,72,0,0,33.73,18.44,5.08,3.54,0,60.79,0
MO,138,0,29,32.32,18.97,11.53,3.83,0,66.65,0
MA,112,0,17,31.14,21.49,7.05,2.62,0,62.3,0
KY,172,0,0,29.33,21.51,9.97,1.59,0,62.4,0
DE,133,0,0,41.79,22.5,5.03,3.02,0,72.34,0
IL,116,0,0,27.98,23,10.37,2.16,0,63.51,0
WA,63,0,0,35.99,23.09,9.15,2,0,70.23,0
MA,119,1,16,25.02,13.61,8.28,2.08,0,48.99,1
OH,133,1,0,43.3,21.44,8.01,2.16,0,74.91,1
MA,69,0,0,33.17,22.23,9.17,3.08,0,67.65,0
NH,142,1,25,32.49,12.72,10.25,2.65,0,58.11,0
AZ,43,0,0,30.48,21.48,10.24,2.16,0,64.36,0
IN,69,0,0,31.5,18.62,10.96,1.49,0,62.57,0
NE,76,0,0,46.36,20.09,10.6,2.08,0,79.13,1
OK,105,1,28,26.54,9.1,7.55,3.97,0,47.16,1
WI,147,1,0,38.28,15.72,6.44,2.67,0,63.11,1
NM,182,0,0,11.75,19.58,11.55,1.76,0,44.64,0
WY,70,0,0,29.82,13.56,11.73,3.13,0,58.24,0
NV,125,0,0,28.66,14.93,10.95,2.94,0,57.48,0
IL,76,0,0,31.64,17.99,10.38,2.16,0,62.17,0
WI,73,0,0,26.71,22.85,8.17,2.7,0,60.43,0
WA,137,0,0,35.5,19.15,9.97,3,0,67.62,0
TX,38,0,0,25.33,4.18,7.35,3.75,0,40.61,0
RI,131,0,0,19.18,16.95,6.42,2.73,0,45.28,0
SD,125,0,0,27.85,21.73,8.68,4.24,0,62.5,0
WI,70,0,0,1.34,11.59,7.05,3.27,0,23.25,0
AK,59,0,0,27.12,14.21,6.24,2.75,0,50.32,0
IN,86,0,0,36.77,22.64,9.63,1.22,0,70.26,0
MD,84,0,0,28.82,13.4,4.42,2.86,0,49.5,0
WY,160,0,0,14.06,16.54,7.15,2.94,0,40.69,0
TX,82,0,0,22.1,15.75,8.04,2.24,0,48.13,0
NC,89,0,0,18,16.12,7.69,3.43,0,45.24,0
NE,64,0,0,44.52,12.59,6.53,3.73,0,67.37,0
OK,154,1,0,24.8,17.7,8.14,3.89,0,54.53,1
MT,80,1,30,31.31,14.24,9.58,2.7,0,57.83,0
UT,104,0,0,44.78,20.02,4.59,3.51,0,72.9,0
CT,97,0,0,36.6,20.6,12.59,3.27,0,73.06,0
MI,127,0,25,34.65,22.7,10.13,1.97,0,69.45,0
SD,125,0,34,45.63,18.89,5.29,2.78,0,72.59,0
TN,121,0,26,28.97,21.63,9.88,4.08,0,64.56,0
OR,53,0,0,44.4,21.32,7.92,2.65,0,76.29,1
MN,145,0,0,41.09,11.54,12.49,3.54,0,68.66,0
MO,109,0,0,34.02,25.58,10.62,3.21,0,73.43,0
PA,65,0,23,38.11,16.12,10.03,2.65,0,66.91,0
WA,106,0,0,32.91,20.25,7.94,3.48,0,64.58,0
NV,141,0,0,32.71,13.34,7.91,2.97,0,56.93,0
KS,94,0,28,39.64,9.63,5.31,4.35,0,58.93,0
NY,112,0,30,10.3,14.1,5.98,3.59,0,33.97,0
AK,110,0,0,25.23,16.47,9.27,1.86,0,52.83,0
NY,40,0,0,41.23,19.8,6.93,2.59,0,70.55,0
GA,128,1,18,37.76,13.65,9.85,3.67,0,64.93,1
MI,122,0,0,24.51,18.04,7.62,2.57,0,52.74,0
NC,126,0,0,17.63,10.8,14.82,3.89,0,47.14,0
CA,138,1,0,33.35,15,10.46,4.1,0,62.91,1
TX,37,1,0,29.39,15.56,10.19,2.65,0,57.79,1
AL,100,0,0,27.25,18.81,6.77,3.02,0,55.85,0
NH,130,0,0,36.23,17.53,7.35,2.4,0,63.51,0
AR,89,1,0,35.17,14.25,7.01,2.94,0,59.37,0
IA,120,0,33,50.92,13.89,6.6,3.13,0,74.54,0
FL,166,1,0,8.11,22.47,10.58,3.56,0,44.72,1
NY,99,0,0,31.04,13.13,8.82,3.27,0,56.26,0
IL,156,0,0,29.67,16.78,10.73,2.86,0,60.04,0
NY,70,0,0,30.16,19.23,11.43,2.94,0,63.76,0
AL,132,0,0,37.81,14.06,9.38,3.02,0,64.27,0
KS,47,1,0,8.13,15.21,6.87,3.59,0,33.8,1
WY,80,0,0,17.19,22.37,6.2,1.97,0,47.73,0
ID,170,0,37,30.28,20.64,10.93,3.51,0,65.36,0
OH,132,0,10,31.09,24.85,6.4,3.11,0,65.45,0
FL,127,0,0,44.49,15.45,4.54,0.89,0,65.37,0
MN,166,0,0,25.86,10.29,8.91,2.65,0,47.71,0
UT,71,0,0,47.41,16.17,11.48,3.16,0,78.22,1
TX,98,0,0,36.92,25.79,8.87,3.35,0,74.93,1
MS,13,0,0,51.54,14.49,10.24,3.11,0,79.38,1
AK,97,0,24,29.94,13.55,12.11,3.27,0,58.87,0
WY,78,0,0,25.01,16.97,7.23,3.7,0,52.91,0
CO,80,0,0,33.12,17.84,8.73,3.46,0,63.15,0
MD,166,0,0,23.14,15.42,5.91,3.05,0,47.52,0
AK,126,0,31,47.26,21.52,10.04,2.35,0,81.17,0
AR,86,0,16,24.77,16.24,9.7,3.05,0,53.76,0
AK,138,0,37,12.89,14.76,7.32,2.21,0,37.18,0
NV,105,1,0,38.83,12.33,11.04,2.08,0,64.28,0
DC,217,0,0,21.03,21.12,12.13,3.59,0,57.87,0
NC,107,0,38,34.71,17.5,12.89,2.24,0,67.34,0
NM,118,0,42,25.28,14.22,12.18,2.81,0,54.49,0
NE,34,0,0,32.93,10.79,9.95,2.38,0,56.05,0
OR,69,0,0,33.34,20.13,8.2,3.21,0,64.88,0
WV,59,0,0,32.25,9.85,9.93,2,0,54.03,0
OR,190,0,0,24.29,15.12,5.1,1.78,0,46.29,0
MN,100,0,27,37.69,20.07,8.67,2.16,0,68.59,0
FL,106,0,0,27.13,23.53,10.06,2.38,0,63.1,0
OK,93,0,32,19.87,19.75,5.75,2.97,0,48.34,0
UT,4,1,0,24.7,25.82,9.27,2.4,0,62.19,0
NM,56,0,0,24.84,16.68,13.95,2.48,0,57.95,0
WV,106,0,0,33.12,18.14,8.59,3.11,0,62.96,0
AZ,124,0,0,43.1,10.02,11.18,3.78,0,68.08,0
ID,101,0,17,32.96,16.13,8.83,3.4,0,61.32,0
LA,40,0,0,18.6,20.8,12.46,1.92,0,53.78,0
FL,98,0,0,48.98,11.72,9.29,0,0,69.99,0
CT,22,0,0,35.31,17.9,10.72,2.59,0,66.52,0
PA,176,0,0,28.82,9.6,2.55,2.35,0,43.32,0
VA,118,0,0,26.32,20.74,7.18,3.46,0,57.7,0
KY,71,0,0,17.68,16.75,4.95,3.94,0,43.32,0
VT,116,0,0,22,13.37,9.7,3.59,0,48.66,0
CT,54,0,33,27.51,23.21,6.93,3.7,0,61.35,0
RI,83,0,0,44.15,12.98,10.11,2.75,0,69.99,0
WY,157,1,0,30.67,16.49,10.23,2.27,0,59.66,0
VA,123,0,0,26.23,15.56,2.43,2.94,0,47.16,0
CT,40,1,0,37.54,22.58,9.58,1.73,0,71.43,0
NM,132,0,0,36.48,21.39,10.84,3.75,0,72.46,0
SC,130,0,0,36.18,16.13,7.65,2.86,0,62.82,1
NE,139,0,25,23.51,6.85,7.37,2.24,0,39.97,0
SC,99,1,39,21.56,24.96,7.83,2.27,0,56.62,0
NJ,59,0,0,33.15,16.87,13.69,4,0,67.71,0
IL,16,1,0,18.7,12.52,8.57,1.73,0,41.52,0
AK,115,0,0,35.8,13.01,11.8,2.97,0,63.58,0
SC,1,0,0,21.05,20.08,3.29,1,0,45.42,0
MD,120,0,40,21.78,21.05,8.99,4.21,0,56.03,0
ID,88,0,0,9.45,20.63,7.93,3.05,0,41.06,0
NM,118,0,0,34.88,15.71,7.92,1.89,0,60.4,0
NC,74,0,0,17.46,12.69,8.46,2.97,0,41.58,0
WY,78,0,0,37.4,15.29,8.47,3.11,0,64.27,0
MD,83,0,38,18.34,11.93,11.41,2.84,0,44.52,0
CO,66,0,40,24.09,22.81,10.86,2.3,0,60.06,0
TX,80,0,22,33.39,12.78,7.93,2.51,0,56.61,0
MS,76,0,0,29.44,11.15,7.69,1.46,0,49.74,0
OH,94,0,0,30.82,15.5,8.13,1.81,0,56.26,0
SC,73,0,0,34.56,12.06,9.03,2.3,0,57.95,0
IL,101,0,0,21.22,21.86,8.69,3.62,0,55.39,0
VT,43,0,0,23.09,13.87,10.34,3.4,0,50.7,0
AZ,62,0,42,23.34,15.66,10.41,2.75,0,52.16,0
VA,44,0,0,34.78,17.44,7.41,2.89,0,62.52,0
IL,151,1,0,33.78,17.81,12.69,3.35,0,67.63,0
NJ,57,1,0,19.55,10.4,11.03,1.73,0,42.71,1
CT,119,0,0,50.01,19.76,8.78,2.43,0,80.98,1
PA,141,0,0,24.91,14.44,10.75,2.21,0,52.31,0
TN,120,0,0,31.57,19.98,11.54,4.56,0,67.65,0
AR,94,0,0,23.15,14.03,6.21,2.59,0,45.98,0
GA,194,0,0,32.86,14.37,10.13,3.19,0,60.55,0
VT,93,0,0,25.43,17.06,8.15,3.86,0,54.5,0
DE,97,0,0,38.27,23.76,10.52,2.38,0,74.93,1
ID,135,0,0,26.25,17.32,7.14,3.19,0,53.9,0
NH,125,1,0,50.73,22.99,4.83,3.29,0,81.84,1
MI,105,0,0,38.57,15.49,9.18,3.13,0,66.37,1
RI,63,0,0,30.69,19.55,10.46,2.86,0,63.56,0
SC,116,0,0,48.96,21.74,10.5,3.62,0,84.82,1
NY,111,0,0,30.91,13.44,11.98,2.62,0,58.95,0
DC,101,0,0,43.74,15.71,4.9,3.65,0,68,0
IA,197,0,0,39.76,18.61,8.23,2.57,0,69.17,0
NE,155,0,21,33.3,18.18,3.97,2.32,0,57.77,0
MS,65,1,0,47.24,13.24,11.56,2.48,0,74.52,1
IL,67,0,0,18.55,18.48,8.48,3.46,0,48.97,0
OR,60,0,0,35.33,10.5,13.12,1.54,0,60.49,0
SC,121,0,0,24.62,17.05,9.4,3.59,0,54.66,1
DC,55,1,0,18.04,10.5,4.34,3.48,0,36.36,0
KS,79,0,0,30.24,14.22,10.07,4.1,0,58.63,0
MI,134,0,41,27.54,27.6,7.2,3.21,0,65.55,0
AL,136,0,0,18.6,17.64,6.08,3.13,0,45.45,0
WV,125,0,0,35.02,16.84,6.12,3.56,0,61.54,0
ME,193,0,31,12.1,10.6,7,3.16,0,32.86,0
WV,63,0,0,44.51,20.83,9.09,3.97,0,78.4,1
DC,144,0,0,22.66,21.72,10.29,3.13,0,57.8,0
IL,142,0,38,27.76,11.56,11.21,1.16,0,51.69,0
WV,51,0,0,28.78,11.86,8.87,3.24,0,52.75,0
PA,92,1,0,43.49,12.13,8.15,3.16,0,66.93,0
NJ,127,0,0,41.68,18.46,10.94,3.75,0,74.83,1
TX,90,1,26,28.73,16.05,9.6,3.59,0,57.97,1
WY,101,0,9,27.22,17.85,6.26,2.92,0,54.25,0
MD,147,0,0,46.58,19.7,12.76,1.67,0,80.71,1
MI,128,0,0,30.5,22.98,8.59,2.13,0,64.2,0
SC,107,0,0,35.17,22.3,6.72,2.89,0,67.08,0
IL,137,1,0,40.34,15.02,11.85,3.83,0,71.04,1
ME,62,1,32,37.13,20.12,8.65,3.56,0,69.46,1
IN,130,0,30,31.45,21.21,7.1,2,0,61.76,0
CA,112,0,0,35.48,18.09,8.01,2.3,0,63.88,0
MN,134,0,0,41.5,20.99,9,1.94,0,73.43,0
MS,59,0,27,21.66,8.78,7.39,2.46,0,40.29,0
ID,151,0,0,33.12,24.88,10.11,1.49,0,69.6,0
MT,137,1,0,43.86,20.95,7.79,2.94,0,75.54,1
HI,24,0,0,40.05,9.85,8.34,4.37,0,62.61,0
SD,52,1,0,42.74,16.71,8.64,2.97,0,71.06,1
WY,159,0,0,28.46,12.22,6.3,2.78,0,49.76,1
NJ,108,0,41,29.17,11.57,8.25,2.92,0,51.91,0
RI,121,0,20,36.02,18.28,10.73,2.54,0,67.57,0
AL,19,1,0,40.41,17.6,8.2,1.22,0,67.43,0
ID,119,1,32,29.41,17.8,10.4,3.29,0,60.9,0
MD,125,0,0,38.23,12.22,8.95,2.16,0,61.56,0
IA,123,0,0,34.75,11.69,10.17,2.7,0,59.31,0
MA,126,0,24,10.01,25.97,7.15,3.27,0,46.4,0
FL,153,0,0,38.91,13.66,9.14,3.38,0,65.09,0
MA,17,1,0,27.68,19.52,14.97,3.67,0,65.84,1
AZ,138,0,0,40.94,12.28,5.66,3.13,0,62.01,0
OR,159,0,0,19.52,16.37,11.66,3.29,0,50.84,0
MA,150,0,27,35.67,13.18,11.32,1.94,0,62.11,0
AR,33,1,0,27.88,13.01,5.57,1.73,0,48.19,0
WY,151,0,0,28.93,15.94,5.38,1.16,0,51.41,0
UT,108,0,0,35.8,13.96,9.06,2.54,0,61.36,0
DC,136,0,0,34.77,17.75,10.08,2.65,0,65.25,0
OK,44,0,0,49.1,14.95,9.69,2.57,0,76.31,1
KY,96,0,40,18.46,17.54,5.68,3.62,0,45.3,0
KS,137,0,19,29.8,20.51,9.51,2.11,0,61.93,0
UT,95,0,0,26.84,22.07,10.35,3.78,0,63.04,0
OH,133,0,0,20.03,16.93,10.98,3.19,0,51.13,1
MI,148,1,0,39.7,15.95,5.5,2.59,0,63.74,1
WV,80,0,0,25.76,11.19,10.59,3.19,0,50.73,0
MT,132,0,0,33.17,12.65,10.1,1.81,0,57.73,0
PA,87,0,30,44.68,18.34,6.97,2.11,0,72.1,0
CO,71,0,0,35.9,21.48,10.16,3.32,0,70.86,0
LA,153,0,0,28.36,12.2,9.48,3.19,0,53.23,0
LA,123,0,33,24.92,9.76,9.92,0.78,0,45.38,0
MA,67,0,34,27.49,17.65,9.26,2.48,0,56.88,0
MN,113,0,0,27.01,20.64,11.15,1.76,0,60.56,0
MD,90,0,0,24.75,16.75,13.25,2.84,0,57.59,0
RI,39,0,0,15.86,16.97,9.28,1.76,0,43.87,0
AL,95,0,0,32.33,13.35,8.17,3.78,0,57.63,0
CA,82,0,0,33.88,16.44,11.45,1.89,0,63.66,0
MD,141,0,0,31.47,19.81,6.85,2.46,0,60.59,0
DE,114,0,31,37.88,15.34,6.81,3.51,0,63.54,0
WA,62,0,0,17,14.75,9.81,2.73,0,44.29,0
TX,75,0,0,51.87,15.98,10.59,2.3,0,80.74,1
FL,102,0,29,36.5,26.72,12.61,3.86,0,79.69,0
MI,82,0,0,23.02,20.15,5.32,4.73,0,53.22,0
MO,174,0,0,40.04,12.1,14.25,3.38,0,69.77,0
SD,78,0,0,27.81,24.09,11.79,2.32,0,66.01,0
MS,68,0,0,16,12.55,9.61,2.73,0,40.89,0
GA,93,0,0,30.52,16.31,7.45,3.24,0,57.52,0
AZ,102,0,0,26.86,17.67,8.57,2.73,0,55.83,0
MA,93,0,0,29.41,16.18,13.05,2.81,0,61.45,0
WI,63,0,13,36.41,15.4,7.83,2.78,0,62.42,0
VA,139,1,0,27.46,16.4,7.57,3.02,0,54.45,0
MO,83,0,0,20.04,13.63,10.59,3.08,0,47.34,0
MA,77,0,17,34.83,17.09,9.89,3.05,0,64.86,0
WA,60,1,0,35,23.58,9.09,2.97,0,70.64,1
ME,56,0,0,37.72,23.65,12.96,1.92,0,76.25,1
UT,81,0,0,22.08,19.56,6.32,3.59,0,51.55,0
CT,67,0,0,19.64,21.44,9.4,2.03,0,52.51,0
MD,51,0,28,47.04,17.31,11.08,2.24,0,77.67,0
NY,122,0,0,24.04,12.44,5.54,2.19,0,44.21,0
NC,72,0,0,33.41,13.48,12.12,1.84,0,60.85,0
WA,76,1,0,41.96,17.54,9.38,3.56,0,72.44,1
CT,87,0,0,40.8,11.4,8.51,2.51,0,63.22,1
SD,30,0,0,42.06,14.95,12.93,3.05,0,72.99,0
WV,144,0,38,17.85,10.35,9.97,1,0,39.17,0
SD,221,0,24,30.69,19.05,9.26,0.65,0,59.65,0
WI,184,0,12,34.05,21.56,6.72,2.75,0,65.08,0
AK,121,0,34,41.65,18.44,5.06,2.03,0,67.18,0
MA,58,0,30,30.28,20.12,11.88,2.27,0,64.55,0
NC,77,1,44,17.54,20.09,9.16,3.21,0,50,1
NJ,93,0,0,24.87,18.41,10.49,3.11,0,56.88,0
OH,160,0,0,35.07,20.49,10.25,3.16,0,68.97,0
NM,55,0,0,22.44,23.77,8.1,3.65,0,57.96,0
MI,63,0,0,31.5,19.15,8.74,3.16,0,62.55,0
RI,89,0,24,16.63,17.61,9.65,1.59,0,45.48,0
OH,106,0,30,37.42,18.89,7.13,3.54,0,66.98,0
RI,95,0,0,27.2,18.3,8.5,2.46,0,56.46,0
ME,149,0,18,25.25,9.73,8.02,1.76,0,44.76,0
MS,103,0,29,27.9,18.62,9.91,3.32,0,59.75,0
TN,74,0,25,39.85,22.6,10.86,3.7,0,77.01,0
LA,117,0,0,31.37,29.89,9.71,2.35,1,73.32,0
HI,49,0,0,20.28,18.28,8.04,3,1,49.6,0
KY,95,0,0,22.95,15.61,11.04,3.38,1,52.98,0
CO,141,0,32,25.26,11.14,9.87,2.73,1,49,0
AZ,63,0,0,10.01,14.42,9.51,2.54,1,36.48,0
CA,75,0,0,28.27,13.45,11.55,1.65,1,54.92,0
WA,127,0,0,24.94,17.3,9.15,3.7,1,55.09,0
LA,121,0,0,30.86,18.56,7.27,2.3,1,58.99,0
NE,117,0,0,17.48,17.57,13.46,2.73,1,51.24,0
OH,65,0,0,31.94,13.4,10.23,2.03,1,57.6,0
MO,6,0,0,31.21,21.82,8.04,2.75,1,63.82,0
OR,65,0,0,19.86,15.21,8.21,3.81,1,47.09,0
LA,99,0,0,40.99,13.23,8.47,3.13,1,65.82,0
MS,65,0,0,23.14,23.2,9.91,1.19,1,57.44,0
IN,65,0,0,36.28,19.93,11.25,0.73,1,68.19,0
KS,92,1,0,10.64,15.35,9.98,2.81,1,38.78,1
SC,78,0,0,28.61,18.8,10.85,3.38,1,61.64,0
OK,89,0,0,51.66,22.18,14.04,1.43,1,89.31,1
MN,94,0,0,30.86,16.99,12.95,1.78,1,62.58,0
FL,127,0,0,45.32,22.51,9.32,1.59,1,78.74,1
AL,121,0,35,11.68,17.78,8.88,3.08,1,41.42,0
CA,124,1,0,41.58,16.05,9.27,3.05,1,69.95,0
NC,135,0,0,34.31,19.13,9.2,2.78,1,65.42,0
NH,54,0,0,35.79,17.38,5.75,2.3,1,61.22,0
OR,94,0,0,39.85,23.74,10.54,0.54,1,74.67,1
UT,96,0,26,24.79,16.34,7.43,2.67,1,51.23,0
DC,112,0,16,37.67,11.07,9,3.05,1,60.79,0
MA,129,1,0,32.79,15.77,9.23,2.94,1,60.73,0
LA,149,0,20,33.81,23.29,8.58,3.86,1,69.54,0
OH,144,0,18,18.09,9.19,9.38,2.73,1,39.39,0
NV,124,0,0,25.69,15.93,11.49,1.43,1,54.54,0
AL,55,1,0,32.62,21.77,9.17,3.86,1,67.42,1
IL,87,0,0,39.32,14.59,3.05,3.51,1,60.47,0
VT,80,0,0,27.3,20.15,11.03,2.89,1,61.37,0
WI,117,0,14,13.63,18.62,5.52,2.32,1,40.09,0
PA,82,0,0,21.37,17.65,8.24,3.48,1,50.74,0
NM,30,0,0,28.88,19.14,7.64,3.08,1,58.74,0
NC,63,0,29,24.19,10.09,10.8,1.78,1,46.86,0
NV,105,1,29,37.52,18.5,8.57,3.56,1,68.15,1
KS,121,0,0,25.62,16.77,7.61,2.48,1,52.48,0
MT,109,0,0,45,25.93,8.88,2.57,1,82.38,1
SD,65,0,31,47.99,12.92,10.15,3.24,1,74.3,0
WV,32,0,26,45.34,19.75,9.58,4.4,1,79.07,0
DE,119,0,0,30.06,19.1,9.21,2.03,1,60.4,0
LA,43,0,0,41.12,11,11.92,1.59,1,65.63,0
KS,116,0,0,32.22,16.13,9.26,3.54,1,61.15,0
ND,123,0,0,27.05,20.54,9.11,1.76,1,58.46,0
AR,156,0,0,30.4,15.16,7.61,2.03,1,55.2,0
WV,115,1,0,42.48,20.61,6.83,4.13,1,74.05,1
NJ,64,0,0,38.22,16.15,9.96,2.48,1,66.81,0
NM,87,1,0,28.44,16.87,5.99,2.97,1,54.27,0
MT,106,0,0,28.8,16.76,9.1,2.89,1,57.55,0
WI,35,0,27,41.09,12.07,13,2.54,1,68.7,0
MO,107,0,22,47.79,12.21,10.77,3.02,1,73.79,0
VA,68,1,0,25.25,18.65,8.93,3.92,1,56.75,1
NE,123,0,0,32.98,20.57,6.58,3.27,1,63.4,0
WA,75,0,41,22.25,17.29,7.73,3.35,1,50.62,0
NM,153,0,0,31.5,17.68,9.27,4.08,1,62.53,0
FL,144,0,51,48.26,16.32,8.83,2.7,1,76.11,0
ND,70,0,31,21.4,16.69,11.37,2.78,1,52.24,0
WY,104,0,0,31.21,10.26,9.68,3.43,1,54.58,0
VA,89,0,32,35.68,21.23,10.09,2.35,1,69.35,0
MS,1,0,0,24.62,9.56,9.84,3.73,1,47.75,0
KY,60,0,0,23.02,17.5,9.18,2.13,1,51.83,0
WV,77,0,0,11.51,16.63,10.64,3.24,1,42.02,0
MN,150,0,28,29.65,14.44,9.07,2.97,1,56.13,0
NY,104,0,0,26.55,16.41,10.02,3.54,1,56.52,0
WV,13,0,0,24.89,12.62,9.75,3.05,1,50.31,0
WV,67,0,0,28.53,14.25,4.96,2.27,1,50.01,0
DC,148,0,11,42.99,24.17,11.83,3.32,1,82.31,0
OR,161,0,0,30.28,12.45,6.19,2.3,1,51.22,0
ND,132,0,31,29.67,20.88,7.78,2.78,1,61.11,0
PA,134,0,0,34.9,20.44,8.06,1.35,1,64.75,0
NY,44,0,0,24.34,14.43,9.71,2.05,1,50.53,0
WY,53,0,27,4.4,17.55,10.26,1.76,1,33.97,0
RI,93,0,0,16.73,21.22,11.17,3.83,1,52.95,0
FL,136,1,0,33.86,18.25,6.79,3.19,1,62.09,0
KY,107,0,0,26.71,13.82,6.75,3.27,1,50.55,0
NY,167,0,0,28.29,20.67,10.31,2.67,1,61.94,0
PA,122,0,0,5.97,15.37,11.32,3.43,1,36.09,0
WA,161,0,0,25.77,18.65,10.11,1.08,1,55.61,0
DE,89,1,0,21.35,18.11,8.18,1.46,1,49.1,0
VT,109,0,0,37.77,18.57,11.97,2.94,1,71.25,0
WA,29,0,0,26.76,12.33,12.68,2.51,1,54.28,0
NH,139,0,0,37.62,13.41,8.66,3.05,1,62.74,0
ID,88,0,31,30.87,18.12,9.35,3.08,1,61.42,0
UT,74,0,0,18.09,11.92,4.09,3.08,1,37.18,0
MT,116,0,35,31.08,18.08,8.72,2.97,1,60.85,0
UT,73,0,0,30.99,16.93,5.41,4.86,1,58.19,0
MI,51,0,0,39.05,28.56,8.68,2.59,1,78.88,1
ID,166,0,0,37.52,15.11,9.27,3.35,1,65.25,0
OR,66,0,0,14.89,22.27,8.31,2.48,1,47.95,0
WI,90,0,0,34.15,13.97,11.21,2.4,1,61.73,0
TN,114,0,0,29.24,23.49,8.72,2.73,1,64.18,0
NV,7,0,30,37.64,14.09,11.12,2.92,1,65.77,0
IL,31,0,28,35.79,21.29,10.87,3.11,1,71.06,0
SD,86,0,0,38.06,13.23,6.76,1.97,1,60.02,0
ND,190,0,0,28.8,21.55,8.87,2.4,1,61.62,0
CT,80,0,0,20.08,12.27,10.13,2.21,1,44.69,0
NJ,45,0,0,26.47,22.13,8.65,2.97,1,60.22,0
NM,232,0,0,28.15,16.65,5.32,3.19,1,53.31,0
VA,182,0,0,29.94,14.87,10.56,2.62,1,57.99,0
NJ,127,0,0,40.77,10.96,11.25,3.05,1,66.03,0
MI,79,0,0,37.55,16.34,7.25,3.29,1,64.43,0
RI,112,0,0,28.66,25.33,8.76,2.65,1,65.4,0
MD,163,0,0,37.91,19.3,8.47,2.38,1,68.06,0
AR,57,0,0,32.78,13.43,10.6,3.43,1,60.24,0
CT,107,0,0,17.58,16.09,10.22,3.89,1,47.78,0
VT,137,0,0,16.58,16.64,13,0,1,46.22,0
KS,105,1,0,46.56,23.68,11.49,2.94,1,84.67,1
IA,73,0,0,23.31,17.92,8.61,3,1,52.84,0
TX,71,0,39,31.14,17.8,7.76,3.21,1,59.91,0
TN,99,0,0,9.32,14.71,8.78,2.03,1,34.84,0
WV,124,0,0,31.42,14.88,7.12,2.84,1,56.26,0
MD,93,1,0,22.34,18.67,7.01,3,1,51.02,1
WV,191,0,0,27.54,20.5,9.47,2.94,1,60.45,0
AK,96,0,29,25.5,13.55,10.26,2.3,1,51.61,0
OK,123,0,27,33.78,21.17,7.79,3.38,1,66.12,0
HI,104,0,0,29,13.78,9.48,1.65,1,53.91,0
NJ,106,0,0,32.54,17.06,10.35,2.21,1,62.16,0
MS,84,0,0,12.8,15.29,8.72,3.32,1,40.13,0
KS,120,0,0,26.86,16.75,6.97,2.7,1,53.28,0
LA,112,0,0,29.67,22.04,7.67,3.05,1,62.43,0
AL,68,0,0,26.74,18.78,9.85,3.24,1,58.61,0
TX,201,0,21,32.64,20.32,5.22,4.08,1,62.26,0
KS,138,0,26,31.26,20.46,8.36,4.05,1,64.13,0
NC,162,0,26,30.55,18.54,9.55,2.51,1,61.15,1
WI,107,0,25,42.26,10.14,8.74,3.24,1,64.38,0
SC,140,0,28,26.71,14.65,8.3,3,1,52.66,0
SD,91,0,0,26.01,11.99,7.72,2.78,1,48.5,1
KY,131,0,0,28.31,17.87,11.57,2.67,1,60.42,0
OH,86,0,29,38.32,15.9,12.65,3.48,1,70.35,0
AL,85,0,0,35.75,16.64,9.97,3.02,1,65.38,0
ND,177,0,0,32.22,14.99,10.17,3.83,1,61.21,0
CT,124,0,0,22.41,24.17,13.75,3.05,1,63.38,0
DE,81,1,0,42.6,15.97,5.41,2.11,1,66.09,0
MI,126,1,26,21.98,15,6.95,2.59,1,46.52,0
NE,77,0,0,28.8,15.72,10.54,0.54,1,55.6,0
KY,72,0,0,30.11,15.7,7.83,2.16,1,55.8,0
KS,74,0,32,29.68,26.4,10.56,2.43,1,69.07,0
ME,66,0,0,20.06,21.09,9.65,1.43,1,52.23,0
IL,134,0,0,31.25,10.5,7.23,1.65,1,50.63,0
ME,41,0,30,32.59,16.41,6.72,3,1,58.72,0
IL,87,1,36,29.1,15.79,10.24,2.92,1,58.05,0
NE,86,0,0,14.25,20.42,7.14,1.81,1,43.62,0
IL,55,1,0,45.83,14.59,9.86,2.21,1,72.49,0
